Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","031","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","10312.992","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","4399.795","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","5779.351","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","407.906","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","68.295","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","342.261","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1463.265","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","181.021","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","1563.274","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","169356.251","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","104707.739","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","66791.896","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","281.2","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","198.059","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","90.012","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","9578.167","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","1887.9","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","7509.15","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","11611.419","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","219.756","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","11449.399","X","Figure from international organizations",""
"OA","Annual population","084","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","400.031","X","Figure from international organizations",""
"OA","Annual population","084","Belize","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","218.296","X","Figure from international organizations",""
"OA","Annual population","084","Belize","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","187.469","X","Figure from international organizations",""
"OA","Annual population","204","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","12996.895","X","Figure from international organizations",""
"OA","Annual population","204","Benin","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","6352.738","X","Figure from international organizations",""
"OA","Annual population","204","Benin","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","6096.875","X","Figure from international organizations",""
"OA","Annual population","060","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","64.185","X","Figure from international organizations",""
"OA","Annual population","060","Bermuda","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","060","Bermuda","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","60.472","X","Figure from international organizations",""
"OA","Annual population","064","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","777.486","X","Figure from international organizations",""
"OA","Annual population","064","Bhutan","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","481.101","X","Figure from international organizations",""
"OA","Annual population","064","Bhutan","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","363.051","X","Figure from international organizations",""
"OA","Annual population","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","12079.472","X","Figure from international organizations",""
"OA","Annual population","068","Bolivia (Plurinational State of)","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","3456.718","X","Figure from international organizations",""
"OA","Annual population","068","Bolivia (Plurinational State of)","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","8251.182","X","Figure from international organizations",""
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","26.706","X","Figure from international organizations",""
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","6.571","X","Figure from international organizations",""
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","19.862","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","3270.943","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","1766.129","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","1725.939","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","2588.423","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","698.606","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","1757.85","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","214326.223","X","Figure from international organizations",""
